,Position,Team,Played,W,D,L,GF,GA,GD,PTS,Year,League
502,3,Atletico Madrid,38,28,4,6,63,18,45,88,2015,la liga
503,4,Villarreal,38,18,10,10,44,35,9,64,2015,la liga
504,5,Athletic Bilbao,38,18,8,12,58,45,13,62,2015,la liga
505,6,Celta Vigo,38,17,9,12,51,59,-8,60,2015,la liga
506,7,Sevilla,38,14,10,14,51,50,1,52,2015,la liga
507,8,Malaga,38,12,12,14,38,35,3,48,2015,la liga
508,9,Real Sociedad,38,13,9,16,45,48,-3,48,2015,la liga
509,10,Real Betis,38,11,12,15,34,52,-18,45,2015,la liga
510,11,Las Palmas,38,12,8,18,45,53,-8,44,2015,la liga
511,12,Valencia,38,11,11,16,46,48,-2,44,2015,la liga
512,13,Espanyol,38,12,7,19,40,74,-34,43,2015,la liga
513,14,Eibar,38,11,10,17,49,61,-12,43,2015,la liga
514,15,Deportivo La Coruna,38,8,18,12,45,61,-16,42,2015,la liga
515,16,Granada,38,10,9,19,46,69,-23,39,2015,la liga
516,17,Sporting Gijon,38,10,9,19,40,62,-22,39,2015,la liga
517,18,Rayo Vallecano,38,9,11,18,52,73,-21,38,2015,la liga
518,19,Getafe,38,9,9,20,37,67,-30,36,2015,la liga
519,20,Levante,38,8,8,22,37,70,-33,32,2015,la liga
520,1,Barcelona,38,30,4,4,110,21,89,94,2014,la liga
521,2,Real Madrid,38,30,2,6,118,38,80,92,2014,la liga
522,3,Atletico Madrid,38,23,9,6,67,29,38,78,2014,la liga
523,4,Valencia,38,22,11,5,70,32,38,77,2014,la liga
524,5,Sevilla,38,23,7,8,71,45,26,76,2014,la liga
525,6,Villarreal,38,16,12,10,48,37,11,60,2014,la liga
526,7,Athletic Bilbao,38,15,10,13,42,41,1,55,2014,la liga
527,8,Celta Vigo,38,13,12,13,47,44,3,51,2014,la liga
528,9,Malaga,38,14,8,16,42,48,-6,50,2014,la liga
529,10,Espanyol,38,13,10,15,47,51,-4,49,2014,la liga
530,11,Rayo Vallecano,38,15,4,19,46,68,-22,49,2014,la liga
531,12,Real Sociedad,38,11,13,14,44,51,-7,46,2014,la liga
532,13,Elche,38,11,8,19,35,62,-27,41,2014,la liga
533,14,Levante,38,9,10,19,34,67,-33,37,2014,la liga
534,15,Getafe,38,10,7,21,33,64,-31,37,2014,la liga
535,16,Deportivo La Coruna,38,7,14,17,35,60,-25,35,2014,la liga
536,17,Granada,38,7,14,17,29,64,-35,35,2014,la liga
537,18,Eibar,38,9,8,21,34,55,-21,35,2014,la liga
538,19,Almeria,38,8,8,22,35,64,-29,32,2014,la liga
539,20,Cordoba,38,3,11,24,22,68,-46,20,2014,la liga
540,1,Atletico Madrid,38,28,6,4,77,26,51,90,2013,la liga
541,2,Barcelona,38,27,6,5,100,33,67,87,2013,la liga
542,3,Real Madrid,38,27,6,5,104,38,66,87,2013,la liga
543,4,Athletic Bilbao,38,20,10,8,66,39,27,70,2013,la liga
544,5,Sevilla,38,18,9,11,69,52,17,63,2013,la liga
545,6,Villarreal,38,17,8,13,60,44,16,59,2013,la liga
546,7,Real Sociedad,38,16,11,11,62,55,7,59,2013,la liga
547,8,Valencia,38,13,10,15,51,53,-2,49,2013,la liga
548,9,Celta Vigo,38,14,7,17,49,54,-5,49,2013,la liga
549,10,Levante,38,12,12,14,35,43,-8,48,2013,la liga
550,11,Malaga,38,12,9,17,39,46,-7,45,2013,la liga
551,12,Rayo Vallecano,38,13,4,21,46,80,-34,43,2013,la liga
552,13,Getafe,38,11,9,18,35,54,-19,42,2013,la liga
553,14,Espanyol,38,11,9,18,41,51,-10,42,2013,la liga
554,15,Granada,38,12,5,21,32,56,-24,41,2013,la liga
555,16,Elche,38,9,13,16,30,50,-20,40,2013,la liga
556,17,Almeria,38,11,7,20,43,71,-28,40,2013,la liga
557,18,Osasuna,38,10,9,19,32,62,-30,39,2013,la liga
558,19,Real Valladolid,38,7,15,16,38,60,-22,36,2013,la liga
559,20,Real Betis,38,6,7,25,36,78,-42,25,2013,la liga
560,1,Barcelona,38,32,4,2,115,40,75,100,2012,la liga
561,2,Real Madrid,38,26,7,5,103,42,61,85,2012,la liga
562,3,Atletico Madrid,38,23,7,8,65,31,34,76,2012,la liga
563,4,Real Sociedad,38,18,12,8,70,49,21,66,2012,la liga
564,5,Valencia,38,19,8,11,67,54,13,65,2012,la liga
565,6,Malaga,38,16,9,13,53,50,3,57,2012,la liga
566,7,Real Betis,38,16,8,14,57,56,1,56,2012,la liga
567,8,Rayo Vallecano,38,16,5,17,50,66,-16,53,2012,la liga
568,9,Sevilla,38,14,8,16,58,54,4,50,2012,la liga
569,10,Getafe,38,13,8,17,43,57,-14,47,2012,la liga
570,11,Levante,38,12,10,16,40,57,-17,46,2012,la liga
571,12,Athletic Bilbao,38,12,9,17,44,65,-21,45,2012,la liga
572,13,Espanyol,38,11,11,16,43,52,-9,44,2012,la liga
573,14,Real Valladolid,38,11,10,17,49,58,-9,43,2012,la liga
574,15,Granada,38,11,9,18,37,54,-17,42,2012,la liga
575,16,Osasuna,38,10,9,19,33,50,-17,39,2012,la liga
576,17,Celta Vigo,38,10,7,21,37,52,-15,37,2012,la liga
577,18,Real Mallorca,38,9,9,20,43,72,-29,36,2012,la liga
578,19,Deportivo La Coruna,38,8,11,19,47,70,-23,35,2012,la liga
579,20,Real Zaragoza,38,9,7,22,37,62,-25,34,2012,la liga
580,1,Real Madrid,38,32,4,2,121,32,89,100,2011,la liga
581,2,Barcelona,38,28,7,3,114,29,85,91,2011,la liga
582,3,Valencia,38,17,10,11,59,44,15,61,2011,la liga
583,4,Malaga,38,17,7,14,54,53,1,58,2011,la liga
584,5,Atletico Madrid,38,15,11,12,53,46,7,56,2011,la liga
585,6,Levante,38,16,7,15,54,50,4,55,2011,la liga
586,7,Osasuna,38,13,15,10,44,61,-17,54,2011,la liga
587,8,Real Mallorca,38,14,10,14,42,46,-4,52,2011,la liga
588,9,Sevilla,38,13,11,14,48,47,1,50,2011,la liga
589,10,Athletic Bilbao,38,12,13,13,49,52,-3,49,2011,la liga
590,11,Getafe,38,12,11,15,40,51,-11,47,2011,la liga
591,12,Real Sociedad,38,12,11,15,46,52,-6,47,2011,la liga
592,13,Real Betis,38,13,8,17,47,56,-9,47,2011,la liga
593,14,Espanyol,38,12,10,16,46,56,-10,46,2011,la liga
594,15,Rayo Vallecano,38,13,4,21,53,73,-20,43,2011,la liga
595,16,Real Zaragoza,38,12,7,19,36,61,-25,43,2011,la liga
596,17,Granada,38,12,6,20,35,56,-21,42,2011,la liga
597,18,Villarreal,38,9,14,15,39,53,-14,41,2011,la liga
598,19,Sporting Gijon,38,10,7,21,42,69,-27,37,2011,la liga
599,20,Racing Santander,38,4,15,19,28,63,-35,27,2011,la liga
600,1,Barcelona,38,30,6,2,95,21,74,96,2010,la liga
601,2,Real Madrid,38,29,5,4,102,33,69,92,2010,la liga
602,3,Valencia,38,21,8,9,64,44,20,71,2010,la liga
603,4,Villarreal,38,18,8,12,54,44,10,62,2010,la liga
604,5,Sevilla,38,17,7,14,62,61,1,58,2010,la liga
605,6,Athletic Bilbao,38,18,4,16,59,55,4,58,2010,la liga
606,7,Atletico Madrid,38,17,7,14,62,53,9,58,2010,la liga
607,8,Espanyol,38,15,4,19,46,55,-9,49,2010,la liga
608,9,Osasuna,38,13,8,17,45,46,-1,47,2010,la liga
609,10,Sporting Gijon,38,11,14,13,35,42,-7,47,2010,la liga
610,11,Malaga,38,13,7,18,54,68,-14,46,2010,la liga
611,12,Racing Santander,38,12,10,16,41,56,-15,46,2010,la liga
612,13,Real Zaragoza,38,12,9,17,40,53,-13,45,2010,la liga
613,14,Levante,38,12,9,17,41,52,-11,45,2010,la liga
614,15,Real Sociedad,38,14,3,21,49,66,-17,45,2010,la liga
615,16,Getafe,38,12,8,18,49,60,-11,44,2010,la liga
616,17,Real Mallorca,38,12,8,18,41,56,-15,44,2010,la liga
617,18,Deportivo La Coruna,38,10,13,15,31,47,-16,43,2010,la liga
618,19,Hercules,38,9,8,21,36,60,-24,35,2010,la liga
619,20,Almeria,38,6,12,20,36,70,-34,30,2010,la liga
620,1,Barcelona,38,31,6,1,98,24,74,99,2009,la liga
621,2,Real Madrid,38,31,3,4,102,35,67,96,2009,la liga
622,3,Valencia,38,21,8,9,59,40,19,71,2009,la liga
623,4,Sevilla,38,19,6,13,65,49,16,63,2009,la liga
624,5,Real Mallorca,38,18,8,12,59,44,15,62,2009,la liga
625,6,Getafe,38,17,7,14,58,48,10,58,2009,la liga
626,7,Villarreal,38,16,8,14,58,57,1,56,2009,la liga
627,8,Athletic Bilbao,38,15,9,14,50,53,-3,54,2009,la liga
628,9,Atletico Madrid,38,13,8,17,57,61,-4,47,2009,la liga
629,10,Deportivo La Coruna,38,13,8,17,35,49,-14,47,2009,la liga
630,11,Espanyol,38,11,11,16,29,46,-17,44,2009,la liga
631,12,Osasuna,38,11,10,17,37,46,-9,43,2009,la liga
632,13,Almeria,38,10,12,16,43,55,-12,42,2009,la liga
633,14,Real Zaragoza,38,10,11,17,46,64,-18,41,2009,la liga
634,15,Sporting Gijon,38,9,13,16,36,51,-15,40,2009,la liga
635,16,Racing Santander,38,9,12,17,42,59,-17,39,2009,la liga
636,17,Malaga,38,7,16,15,42,48,-6,37,2009,la liga
637,18,Tenerife,38,9,9,20,40,74,-34,36,2009,la liga
638,19,Real Valladolid,38,7,15,16,37,62,-25,36,2009,la liga
639,20,Xerez,38,8,10,20,38,66,-28,34,2009,la liga
640,1,Barcelona,38,27,6,5,105,35,70,87,2008,la liga
641,2,Real Madrid,38,25,3,10,83,52,31,78,2008,la liga
642,3,Sevilla,38,21,7,10,54,39,15,70,2008,la liga
643,4,Atletico Madrid,38,20,7,11,80,57,23,67,2008,la liga
644,5,Villarreal,38,18,11,9,61,54,7,65,2008,la liga
645,6,Valencia,38,18,8,12,68,54,14,62,2008,la liga
646,7,Deportivo La Coruna,38,16,10,12,48,47,1,58,2008,la liga
647,8,Malaga,38,15,10,13,55,59,-4,55,2008,la liga
648,9,Real Mallorca,38,14,9,15,53,60,-7,51,2008,la liga
649,10,Espanyol,38,12,11,15,46,49,-3,47,2008,la liga
650,11,Almeria,38,13,7,18,45,61,-16,46,2008,la liga
651,12,Racing Santander,38,12,10,16,49,48,1,46,2008,la liga
652,13,Athletic Bilbao,38,12,8,18,47,62,-15,44,2008,la liga
653,14,Sporting Gijon,38,14,1,23,47,79,-32,43,2008,la liga
654,15,Real Valladolid,38,12,7,19,46,58,-12,43,2008,la liga
655,16,Osasuna,38,10,13,15,41,47,-6,43,2008,la liga
656,17,Getafe,38,10,12,16,50,56,-6,42,2008,la liga
657,18,Real Betis,38,10,12,16,51,58,-7,42,2008,la liga
658,19,Numancia,38,10,5,23,38,69,-31,35,2008,la liga
659,20,Recreativo Huelva,38,8,9,21,34,57,-23,33,2008,la liga
660,1,Bayern Munich,34,24,6,4,88,32,56,78,2018,bundesliga
661,2,Borussia Dortmund,34,23,7,4,81,44,37,76,2018,bundesliga
662,3,RB Leipzig,34,19,9,6,63,29,34,66,2018,bundesliga
663,4,Bayer Leverkusen,34,18,4,12,69,52,17,58,2018,bundesliga
664,5,M'gladbach,34,16,7,11,55,42,13,55,2018,bundesliga
665,6,Wolfsburg,34,16,7,11,62,50,12,55,2018,bundesliga
666,7,Eintracht Frankfurt,34,15,9,10,60,48,12,54,2018,bundesliga
667,8,Werder Bremen,34,14,11,9,58,49,9,53,2018,bundesliga
668,9,Hoffenheim,34,13,12,9,70,52,18,51,2018,bundesliga
669,10,Fortuna DÃ¼sseldorf,34,13,5,16,49,65,-16,44,2018,bundesliga
670,11,Hertha Berlin,34,11,10,13,49,57,-8,43,2018,bundesliga
671,12,Mainz,34,12,7,15,46,57,-11,43,2018,bundesliga
672,13,SC Freiburg,34,8,12,14,46,61,-15,36,2018,bundesliga
673,14,Schalke,34,8,9,17,37,55,-18,33,2018,bundesliga
674,15,FC Augsburg,34,8,8,18,51,71,-20,32,2018,bundesliga
675,16,Stuttgart,34,7,7,20,32,70,-38,28,2018,bundesliga
676,17,Hannover 96,34,5,6,23,31,71,-40,21,2018,bundesliga
677,18,FC Nurnberg,34,3,10,21,26,68,-42,19,2018,bundesliga
678,1,Bayern Munich,34,27,3,4,92,28,64,84,2017,bundesliga
679,2,Schalke,34,18,9,7,53,37,16,63,2017,bundesliga
680,3,Hoffenheim,34,15,10,9,66,48,18,55,2017,bundesliga
681,4,Borussia Dortmund,34,15,10,9,64,47,17,55,2017,bundesliga
682,5,Bayer Leverkusen,34,15,10,9,58,44,14,55,2017,bundesliga
683,6,RB Leipzig,34,15,8,11,57,53,4,53,2017,bundesliga
684,7,Stuttgart,34,15,6,13,36,36,0,51,2017,bundesliga
685,8,Eintracht Frankfurt,34,14,7,13,45,45,0,49,2017,bundesliga
686,9,M'gladbach,34,13,8,13,47,52,-5,47,2017,bundesliga
687,10,Hertha Berlin,34,10,13,11,43,46,-3,43,2017,bundesliga
688,11,Werder Bremen,34,10,12,12,37,40,-3,42,2017,bundesliga
689,12,FC Augsburg,34,10,11,13,43,46,-3,41,2017,bundesliga
690,13,Hannover 96,34,10,9,15,44,54,-10,39,2017,bundesliga
691,14,Mainz,34,9,9,16,38,52,-14,36,2017,bundesliga
692,15,SC Freiburg,34,8,12,14,32,56,-24,36,2017,bundesliga
693,16,Wolfsburg,34,6,15,13,36,48,-12,33,2017,bundesliga
694,17,Hamburg,34,8,7,19,29,53,-24,31,2017,bundesliga
695,18,Cologne,34,5,7,22,35,70,-35,22,2017,bundesliga
696,1,Bayern Munich,34,25,7,2,89,22,67,82,2016,bundesliga
697,2,RB Leipzig,34,20,7,7,66,39,27,67,2016,bundesliga
698,3,Borussia Dortmund,34,18,10,6,72,40,32,64,2016,bundesliga
699,4,Hoffenheim,34,16,14,4,64,37,27,62,2016,bundesliga
700,5,Cologne,34,12,13,9,51,42,9,49,2016,bundesliga
701,6,Hertha Berlin,34,15,4,15,43,47,-4,49,2016,bundesliga
702,7,SC Freiburg,34,14,6,14,42,60,-18,48,2016,bundesliga
703,8,Werder Bremen,34,13,6,15,61,64,-3,45,2016,bundesliga
704,9,M'gladbach,34,12,9,13,45,49,-4,45,2016,bundesliga
705,10,Schalke,34,11,10,13,45,40,5,43,2016,bundesliga
706,11,Eintracht Frankfurt,34,11,9,14,36,43,-7,42,2016,bundesliga
707,12,Bayer Leverkusen,34,11,8,15,53,55,-2,41,2016,bundesliga
708,13,FC Augsburg,34,9,11,14,35,51,-16,38,2016,bundesliga
709,14,Hamburg,34,10,8,16,33,61,-28,38,2016,bundesliga
710,15,Mainz,34,10,7,17,44,55,-11,37,2016,bundesliga
711,16,Wolfsburg,34,10,7,17,34,52,-18,37,2016,bundesliga
712,17,FC Ingolstadt 04,34,8,8,18,36,57,-21,32,2016,bundesliga
713,18,SV Darmstadt 98,34,7,4,23,28,63,-35,25,2016,bundesliga
714,1,Bayern Munich,34,28,4,2,80,17,63,88,2015,bundesliga
715,2,Borussia Dortmund,34,24,6,4,82,34,48,78,2015,bundesliga
716,3,Bayer Leverkusen,34,18,6,10,56,40,16,60,2015,bundesliga
717,4,M'gladbach,34,17,4,13,67,50,17,55,2015,bundesliga
718,5,Schalke,34,15,7,12,51,49,2,52,2015,bundesliga
719,6,Mainz,34,14,8,12,46,42,4,50,2015,bundesliga
720,7,Hertha Berlin,34,14,8,12,42,42,0,50,2015,bundesliga
721,8,Wolfsburg,34,12,9,13,47,49,-2,45,2015,bundesliga
722,9,Cologne,34,10,13,11,38,42,-4,43,2015,bundesliga
723,10,Hamburg,34,11,8,15,40,46,-6,41,2015,bundesliga
724,11,FC Ingolstadt 04,34,10,10,14,33,42,-9,40,2015,bundesliga
725,12,FC Augsburg,34,9,11,14,42,52,-10,38,2015,bundesliga
726,13,Werder Bremen,34,10,8,16,50,65,-15,38,2015,bundesliga
727,14,SV Darmstadt 98,34,9,11,14,38,53,-15,38,2015,bundesliga
728,15,Hoffenheim,34,9,10,15,39,54,-15,37,2015,bundesliga
729,16,Eintracht Frankfurt,34,9,9,16,34,52,-18,36,2015,bundesliga
730,17,Stuttgart,34,9,6,19,50,75,-25,33,2015,bundesliga
731,18,Hannover 96,34,7,4,23,31,62,-31,25,2015,bundesliga
732,1,Bayern Munich,34,25,4,5,80,18,62,79,2014,bundesliga
733,2,Wolfsburg,34,20,9,5,72,38,34,69,2014,bundesliga
734,3,M'gladbach,34,19,9,6,53,26,27,66,2014,bundesliga
735,4,Bayer Leverkusen,34,17,10,7,62,37,25,61,2014,bundesliga
736,5,FC Augsburg,34,15,4,15,43,43,0,49,2014,bundesliga
737,6,Schalke,34,13,9,12,42,40,2,48,2014,bundesliga
738,7,Borussia Dortmund,34,13,7,14,47,42,5,46,2014,bundesliga
739,8,Hoffenheim,34,12,8,14,49,55,-6,44,2014,bundesliga
740,9,Eintracht Frankfurt,34,11,10,13,56,62,-6,43,2014,bundesliga
741,10,Werder Bremen,34,11,10,13,50,65,-15,43,2014,bundesliga
742,11,Mainz,34,9,13,12,45,47,-2,40,2014,bundesliga
743,12,Cologne,34,9,13,12,34,40,-6,40,2014,bundesliga
744,13,Hannover 96,34,9,10,15,40,56,-16,37,2014,bundesliga
745,14,Stuttgart,34,9,9,16,42,60,-18,36,2014,bundesliga
746,15,Hertha Berlin,34,9,8,17,36,52,-16,35,2014,bundesliga
747,16,Hamburg,34,9,8,17,25,50,-25,35,2014,bundesliga
748,17,SC Freiburg,34,7,13,14,36,47,-11,34,2014,bundesliga
749,18,SC Paderborn 07,34,7,10,17,31,65,-34,31,2014,bundesliga
750,1,Bayern Munich,34,29,3,2,94,23,71,90,2013,bundesliga
751,2,Borussia Dortmund,34,22,5,7,80,38,42,71,2013,bundesliga
752,3,Schalke,34,19,7,8,63,43,20,64,2013,bundesliga
753,4,Bayer Leverkusen,34,19,4,11,60,41,19,61,2013,bundesliga
754,5,Wolfsburg,34,18,6,10,63,50,13,60,2013,bundesliga
755,6,M'gladbach,34,16,7,11,59,43,16,55,2013,bundesliga
756,7,Mainz,34,16,5,13,52,54,-2,53,2013,bundesliga
757,8,FC Augsburg,34,15,7,12,47,47,0,52,2013,bundesliga
758,9,Hoffenheim,34,11,11,12,72,70,2,44,2013,bundesliga
759,10,Hannover 96,34,12,6,16,46,59,-13,42,2013,bundesliga
760,11,Hertha Berlin,34,11,8,15,40,48,-8,41,2013,bundesliga
761,12,Werder Bremen,34,10,9,15,42,66,-24,39,2013,bundesliga
762,13,Eintracht Frankfurt,34,9,9,16,40,57,-17,36,2013,bundesliga
763,14,SC Freiburg,34,9,9,16,43,61,-18,36,2013,bundesliga
764,15,Stuttgart,34,8,8,18,49,62,-13,32,2013,bundesliga
765,16,Hamburg,34,7,6,21,51,75,-24,27,2013,bundesliga
766,17,FC Nurnberg,34,5,11,18,37,70,-33,26,2013,bundesliga
767,18,Eintracht Braunschweig,34,6,7,21,29,60,-31,25,2013,bundesliga
768,1,Bayern Munich,34,29,4,1,98,18,80,91,2012,bundesliga
769,2,Borussia Dortmund,34,19,9,6,81,42,39,66,2012,bundesliga
770,3,Bayer Leverkusen,34,19,8,7,65,39,26,65,2012,bundesliga
771,4,Schalke,34,16,7,11,58,50,8,55,2012,bundesliga
772,5,SC Freiburg,34,14,9,11,45,40,5,51,2012,bundesliga
773,6,Eintracht Frankfurt,34,14,9,11,49,46,3,51,2012,bundesliga
774,7,Hamburg,34,14,6,14,42,53,-11,48,2012,bundesliga
775,8,M'gladbach,34,12,11,11,45,49,-4,47,2012,bundesliga
776,9,Hannover 96,34,13,6,15,60,62,-2,45,2012,bundesliga
777,10,FC Nurnberg,34,11,11,12,39,47,-8,44,2012,bundesliga
778,11,Wolfsburg,34,10,13,11,47,52,-5,43,2012,bundesliga
779,12,Stuttgart,34,12,7,15,37,55,-18,43,2012,bundesliga
780,13,Mainz,34,10,12,12,42,44,-2,42,2012,bundesliga
781,14,Werder Bremen,34,8,10,16,50,66,-16,34,2012,bundesliga
782,15,FC Augsburg,34,8,9,17,33,51,-18,33,2012,bundesliga
783,16,Hoffenheim,34,8,7,19,42,67,-25,31,2012,bundesliga
784,17,Fortuna DÃ¼sseldorf,34,7,9,18,39,57,-18,30,2012,bundesliga
785,18,Greuther Furth,34,4,9,21,26,60,-34,21,2012,bundesliga
786,1,Borussia Dortmund,34,25,6,3,80,25,55,81,2011,bundesliga
787,2,Bayern Munich,34,23,4,7,77,22,55,73,2011,bundesliga
788,3,Schalke,34,20,4,10,74,44,30,64,2011,bundesliga
789,4,M'gladbach,34,17,9,8,49,24,25,60,2011,bundesliga
790,5,Bayer Leverkusen,34,15,9,10,52,44,8,54,2011,bundesliga
791,6,Stuttgart,34,15,8,11,63,46,17,53,2011,bundesliga
792,7,Hannover 96,34,12,12,10,41,45,-4,48,2011,bundesliga
793,8,Wolfsburg,34,13,5,16,47,60,-13,44,2011,bundesliga
794,9,Werder Bremen,34,11,9,14,49,58,-9,42,2011,bundesliga
795,10,FC Nurnberg,34,12,6,16,38,49,-11,42,2011,bundesliga
796,11,Hoffenheim,34,10,11,13,41,47,-6,41,2011,bundesliga
797,12,SC Freiburg,34,10,10,14,45,61,-16,40,2011,bundesliga
798,13,Mainz,34,9,12,13,47,51,-4,39,2011,bundesliga
799,14,FC Augsburg,34,8,14,12,36,49,-13,38,2011,bundesliga
800,15,Hamburg,34,8,12,14,35,57,-22,36,2011,bundesliga
801,16,Hertha Berlin,34,7,10,17,38,64,-26,31,2011,bundesliga
802,17,Cologne,34,8,6,20,39,75,-36,30,2011,bundesliga
803,18,Kaiserslautern,34,4,11,19,24,54,-30,23,2011,bundesliga
804,1,Borussia Dortmund,34,23,6,5,67,22,45,75,2010,bundesliga
805,2,Bayer Leverkusen,34,20,8,6,64,44,20,68,2010,bundesliga
806,3,Bayern Munich,34,19,8,7,81,40,41,65,2010,bundesliga
807,4,Hannover 96,34,19,3,12,49,45,4,60,2010,bundesliga
808,5,Mainz,34,18,4,12,52,39,13,58,2010,bundesliga
809,6,FC Nurnberg,34,13,8,13,47,45,2,47,2010,bundesliga
810,7,Kaiserslautern,34,13,7,14,48,51,-3,46,2010,bundesliga
811,8,Hamburg,34,12,9,13,46,52,-6,45,2010,bundesliga
812,9,SC Freiburg,34,13,5,16,41,50,-9,44,2010,bundesliga
813,10,Cologne,34,13,5,16,47,62,-15,44,2010,bundesliga
814,11,Hoffenheim,34,11,10,13,50,50,0,43,2010,bundesliga
815,12,Stuttgart,34,12,6,16,60,59,1,42,2010,bundesliga
816,13,Werder Bremen,34,10,11,13,47,61,-14,41,2010,bundesliga
817,14,Schalke,34,11,7,16,38,44,-6,40,2010,bundesliga
818,15,Wolfsburg,34,9,11,14,43,48,-5,38,2010,bundesliga
819,16,M'gladbach,34,10,6,18,48,65,-17,36,2010,bundesliga
820,17,Eintracht Frankfurt,34,9,7,18,31,49,-18,34,2010,bundesliga
821,18,St Pauli,34,8,5,21,35,68,-33,29,2010,bundesliga
822,1,Bayern Munich,34,20,10,4,72,31,41,70,2009,bundesliga
823,2,Schalke,34,19,8,7,53,31,22,65,2009,bundesliga
824,3,Werder Bremen,34,17,10,7,71,40,31,61,2009,bundesliga
825,4,Bayer Leverkusen,34,15,14,5,65,38,27,59,2009,bundesliga
826,5,Borussia Dortmund,34,16,9,9,54,42,12,57,2009,bundesliga
827,6,Stuttgart,34,15,10,9,51,41,10,55,2009,bundesliga
828,7,Hamburg,34,13,13,8,56,41,15,52,2009,bundesliga
829,8,Wolfsburg,34,14,8,12,64,58,6,50,2009,bundesliga
830,9,Mainz,34,12,11,11,36,42,-6,47,2009,bundesliga
831,10,Eintracht Frankfurt,34,12,10,12,47,54,-7,46,2009,bundesliga
832,11,Hoffenheim,34,11,9,14,44,42,2,42,2009,bundesliga
833,12,M'gladbach,34,10,9,15,43,60,-17,39,2009,bundesliga
834,13,Cologne,34,9,11,14,33,42,-9,38,2009,bundesliga
835,14,SC Freiburg,34,9,8,17,35,59,-24,35,2009,bundesliga
836,15,Hannover 96,34,9,6,19,43,67,-24,33,2009,bundesliga
837,16,FC Nurnberg,34,8,7,19,32,58,-26,31,2009,bundesliga
838,17,Bochum,34,6,10,18,33,64,-31,28,2009,bundesliga
839,18,Hertha Berlin,34,5,9,20,34,56,-22,24,2009,bundesliga
840,1,Wolfsburg,34,21,6,7,80,41,39,69,2008,bundesliga
841,2,Bayern Munich,34,20,7,7,71,42,29,67,2008,bundesliga
842,3,Stuttgart,34,19,7,8,63,43,20,64,2008,bundesliga
843,4,Hertha Berlin,34,19,6,9,48,41,7,63,2008,bundesliga
844,5,Hamburg,34,19,4,11,49,47,2,61,2008,bundesliga
845,6,Borussia Dortmund,34,15,14,5,60,37,23,59,2008,bundesliga
846,7,Hoffenheim,34,15,10,9,63,49,14,55,2008,bundesliga
847,8,Schalke,34,14,8,12,47,35,12,50,2008,bundesliga
848,9,Bayer Leverkusen,34,14,7,13,59,46,13,49,2008,bundesliga
849,10,Werder Bremen,34,12,9,13,64,50,14,45,2008,bundesliga
850,11,Hannover 96,34,10,10,14,49,69,-20,40,2008,bundesliga
851,12,Cologne,34,11,6,17,35,50,-15,39,2008,bundesliga
852,13,Eintracht Frankfurt,34,8,9,17,39,60,-21,33,2008,bundesliga
853,14,Bochum,34,7,11,16,39,55,-16,32,2008,bundesliga
854,15,M'gladbach,34,8,7,19,39,62,-23,31,2008,bundesliga
855,16,Energie Cottbus,34,8,6,20,30,57,-27,30,2008,bundesliga
856,17,Karlsruher SC,34,8,5,21,30,54,-24,29,2008,bundesliga
857,18,Arminia Bielefeld,34,4,16,14,29,56,-27,28,2008,bundesliga
